Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
351,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.446,Payroll,Retirement,Retirement (Age) Above Min Age,05/06/2020,20/06/1988
352,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.649,Payroll,Retirement,Medical,31/01/2023,25/01/1988
353,SEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,08/01/2022,18/04/1988
354,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,29/03/2022,07/03/1988
355,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.7,Payroll,Retirement,Approved Early Retirement(AER),31/01/2020,11/04/1988
356,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) At Min Age,07/02/2020,05/04/1988
357,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.608,Payroll,Retirement,Actuarially Reduced Retirement,10/11/2021,05/04/1988
358,SEO+,Croydon,Human Resources,1237,HR Strategy and Policy,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/03/2022,05/04/1988
359,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.676,Payroll,Retirement,Retirement (Age) Above Min Age,28/02/2022,06/06/1988
360,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.608,Payroll,Retirement,Approved Early Retirement(AER),31/07/2020,11/04/1988
361,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Retirement (Age) Above Min Age,14/04/2019,05/04/1988
362,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.608,Payroll,Retirement,,30/04/2022,05/04/1988
363,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Termination,Dismiss Ineff Attend (comp),11/06/2020,06/06/1988
364,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Actuarially Reduced Retirement,06/04/2018,16/05/1988
365,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Retirement,Approved Early Retirement(AER),08/10/2021,18/04/1988
366,Grade 7,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,06/08/2021,11/04/1988
367,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,,31/01/2022,03/05/1988
368,AO,Plymouth,Operations,725,Land Charges,Employee,Permanent,Part-time regular,0.432,Payroll,Retirement,Retirement (Age) At Min Age,30/04/2022,08/08/1988
369,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,22/01/2021,27/06/1988
370,SEO,Birkenhead,Operations,1472,Registration Services Central Team,Employee,Permanent,,1,Payroll,Retirement,Medical,31/07/2021,20/06/1988
371,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.757,Payroll,Termination,Dismiss Ineff Attend (comp),07/09/2021,13/06/1988
372,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Retirement (Age) At Min Age,19/07/2018,09/05/1988
373,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.53,Payroll,Retirement,Approved Early Retirement(AER),11/11/2020,08/08/1988
374,SEO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,04/01/2019,20/06/1988
375,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/07/2018,27/06/1988
376,EO,Swansea,Operations,1430,Customer Support Centre,Employee,Permanent,Partial retirement,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2021,11/07/1988
377,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.649,Payroll,Resignation,Resignation,31/03/2023,30/01/1989
378,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,31/07/2018,26/09/1988
379,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,13/11/2018,10/10/1988
380,SEO+,Durham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.459,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2022,25/07/1988
381,Grade 6,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Actuarially Reduced Retirement,31/01/2021,01/08/1988
382,SEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,30/03/2022,01/08/1988
383,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,06/12/2021,16/07/1986
384,EO,Plymouth,DDat,1815,Office of DDaT,Employee,Permanent,,0.49,Payroll,Retirement,Medical,22/07/2019,02/05/1989
385,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,30/08/2019,22/08/1988
386,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),31/03/2020,09/05/1988
387,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,11/12/2020,22/08/1988
388,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,27/06/2018,05/09/1988
389,SEO,Hull,Human Resources,1239,Organisation and Employee Development,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/08/2019,26/09/1988
390,SEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.86,Payroll,Retirement,Retirement (Age) At Min Age,09/04/2021,15/08/1988
391,EO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.527,Payroll,Death,,31/03/2020,12/12/1988
392,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.86,Payroll,Retirement,Retirement (Age) Above Min Age,02/06/2020,19/09/1988
393,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,01/11/2018,05/09/1988
394,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2022,12/09/1988
395,EO,Nottingham,DDat,7530,Digital Development,Employee,Permanent,,1,Payroll,Retirement,Medical,23/11/2018,08/05/1989
396,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.811,Payroll,Retirement,Approved Early Retirement(AER),31/01/2022,04/07/1988
397,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Death,,05/02/2019,17/10/1988
398,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.61,Payroll,Resignation,Resignation,31/03/2021,07/11/1988
399,SEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.446,Payroll,Retirement,Retirement (Age) Above Min Age,30/11/2021,03/10/1988
400,SEO,Hull,Customer & Strategy Group,7510,Customer Policy and Services,Employee,Permanent,,0.65,Payroll,Termination,Dismiss Ineff Attend (comp),26/11/2018,05/09/1988
401,AO,Croydon,Data & Register Integrity Group,1562,Lawyer Support,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),31/12/2022,03/10/1988
402,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2022,31/10/1988
403,HEO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,,01/03/2021,19/09/1988
404,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.59,Payroll,Resignation,Resignation,05/08/2019,19/09/1988
405,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.486,Payroll,Termination,Dimiss Ineff Attend (no Comp),31/03/2020,26/09/1988
406,SEO+,Plymouth,DDat,1815,Office of DDaT,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/01/2023,26/09/1988
407,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,08/04/2022,07/11/1988
408,HEO,Swansea,CE & CLR,1241,Internal Communications,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,25/09/2022,03/01/1989
409,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,06/07/2018,03/10/1988
410,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.676,Payroll,Retirement,Actuarially Reduced Retirement,31/03/2022,24/10/1988
411,AO,Coventry,Operations,1445,Central Operations,Employee,Permanent,,1,Payroll,Retirement,Medical,26/07/2021,14/11/1988
412,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Medical,01/03/2023,02/05/1989
413,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2022,03/01/1989
414,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Resignation,Resignation,31/07/2021,10/10/1988
415,SEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),31/08/2022,07/11/1988
416,Grade 7 Lawyers,Gloucester,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,,0.81,Payroll,Retirement,Approved Early Retirement(AER),31/07/2021,31/10/1988
417,HEO,Birkenhead,Data & Register Integrity Group,1540,Risk & Assurance,Employee,Permanent,Partial retirement,0.527,Payroll,Resignation,Voluntary Exit Pension,30/11/2022,16/08/1984
418,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2020,24/10/1988
419,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Medical,30/11/2022,24/10/1988
420,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.676,Payroll,Retirement,Approved Early Retirement(AER),31/05/2022,05/09/1988
421,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2022,01/08/1988
422,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Resignation,Resignation,29/10/2020,19/09/1988
423,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/10/2020,30/01/1989
424,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Retirement,Retirement (Age) At Min Age,14/12/2022,28/11/1988
425,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.74,Payroll,Resignation,Resignation,21/03/2021,02/05/1989
426,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.54,Payroll,Resignation,,30/06/2019,09/01/1989
427,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/07/2018,03/01/1989
428,SEO,Plymouth,Operations,1472,Registration Services Central Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2022,05/06/1989
429,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2021,03/01/1989
430,EO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.743,Payroll,Resignation,Resignation,28/02/2022,03/01/1989
431,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.54,Payroll,Resignation,Resignation,02/07/2019,06/02/1989
432,HEO,Plymouth,DDat,1829,DDAT Architecture,Employee,Permanent,,0.432,Payroll,Resignation,Resignation,16/07/2021,01/02/1989
433,EO,Plymouth,DDat,1825,IT Operations,Employee,Permanent,,0.5,Payroll,Retirement,,31/03/2021,08/05/1989
434,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,15/11/2019,06/02/1989
435,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) At Min Age,31/10/2020,21/11/1988
436,EO,Swansea,Operations,1430,Customer Support Centre,Employee,Permanent,,0.541,Payroll,Retirement,,31/01/2022,09/01/1989
437,SCS1,Nottingham,Data & Register Integrity Group,1527,Central Legal Services,Employee,Permanent,Senior Civil Servant,1,Payroll,Retirement,Retirement (Age) Above Min Age,30/04/2021,06/03/1989
438,Grade 7 Lawyers,Fylde,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2022,03/04/1989
439,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),06/06/2022,01/03/1989
440,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.57,Payroll,Retirement,Retirement (Age) Above Min Age,30/05/2021,10/04/1989
441,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement PartTime,0.703,Payroll,Resignation,Resignation,12/12/2019,03/07/1989
442,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.608,Payroll,Death,Death in Service,04/01/2022,03/04/1989
443,SEO+,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/01/2023,03/04/1989
444,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.865,Payroll,Retirement,Retirement (Age) At Min Age,12/11/2021,03/04/1989
445,EO,Hull,Operations,1420,Customer Resolution Team,Employee,Permanent,Part-time regular,0.757,Payroll,Retirement,Retirement (Age) Above Min Age,31/12/2022,20/03/1989
446,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,15/09/2019,17/04/1989
447,SEO,Nottingham,Operations,1472,Registration Services Central Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,06/10/2022,03/04/1989
448,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/09/2020,12/06/1989
449,SEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Retirement,Approved Early Retirement(AER),31/03/2020,24/04/1989
450,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.541,Payroll,Death,Death in Service,11/08/2021,02/05/1989
451,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.54,Payroll,Retirement,Medical,29/01/2019,07/08/1989
452,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Resignation,Resignation,09/02/2023,18/09/1989
453,SEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.865,Payroll,Resignation,Resignation,31/01/2023,17/04/1989
454,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Resignation,Resignation,15/06/2018,10/04/1989
455,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,28/10/2018,05/06/1989
456,SEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2022,03/04/1989
457,Grade 6,Plymouth,Transformation,1940,Local Land Charges,Employee,Permanent,,1,Payroll,Resignation,,31/10/2021,01/07/1991
458,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,30/11/2019,27/04/1992
459,EO,Plymouth,DDat,1815,Office of DDaT,Employee,Permanent,Full-time regular,1,Payroll,Termination,Dismiss Ineff Perf (comp),07/06/2022,27/04/1992
460,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.59,Payroll,Termination,Dismiss Ineff Attend (comp),05/12/2019,25/09/1989
461,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),10/04/2020,03/07/1989
462,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,09/07/2020,13/10/1997
463,SEO,Durham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/07/2022,22/05/1989
464,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,Part-time regular,0.608,Payroll,Retirement,Actuarially Reduced Retirement,31/01/2023,05/06/1989
465,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.865,Payroll,Retirement,Retirement (Age) Above Min Age,23/03/2023,03/07/1989
466,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,30/11/2022,03/04/1989
467,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.568,Payroll,Retirement,Retirement (Age) Above Min Age,31/07/2022,03/04/1989
468,SEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),22/05/2022,30/05/1989
469,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,,0.649,Payroll,Resignation,Resignation,26/11/2021,10/07/1989
470,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.703,Payroll,Retirement,Retirement (Age) At Min Age,31/05/2022,21/08/1989
471,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.459,Payroll,Retirement,Retirement (Age) At Min Age,01/06/2021,02/03/1998
472,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.743,Payroll,Retirement,Retirement (Age) At Min Age,05/04/2022,04/06/2001
473,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2019,02/05/1989
474,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,12/03/2021,16/01/1990
475,AO,Coventry,Operations,1445,Central Operations,Employee,Permanent,Partial retirement,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,29/10/2021,27/11/1989
476,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,Partial retirement,0.527,Payroll,Retirement,Retirement (Age) At Min Age,31/03/2020,13/11/1989
477,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,26/06/2018,05/02/1990
478,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.432,Payroll,Retirement,Actuarially Reduced Retirement,08/01/2023,07/11/1983
479,Grade 7 Lawyers,Weymouth,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,Partial retirement,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,01/04/2022,14/04/1997
480,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/08/2021,01/06/1998
481,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,29/06/2018,11/06/1990
482,Grade 7 Lawyers,Nottingham,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,,0.86,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2020,08/05/1990
483,Grade 7 Lawyers,Nottingham,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,Partial retirement,0.486,Payroll,Death,,29/01/2022,04/06/1990
484,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Approved Early Retirement(AER),31/05/2022,30/04/1990
485,EO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Resignation,Resignation,05/05/2021,08/05/1990
486,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,26/11/2019,08/07/1991
487,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.446,Payroll,Resignation,Resignation,21/01/2022,13/10/1997
488,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.76,Payroll,Retirement,Retirement (Age) Above Min Age,07/02/2021,27/01/1997
489,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,31/08/2020,27/01/1997
490,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2020,27/01/1997
491,SEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,,31/01/2021,27/01/1997
492,Grade 6,Swansea,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,,0.919,Payroll,Retirement,,29/07/2021,05/02/1996
493,Grade 7 Lawyers,Swansea,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,Partial retirement,0.45,Payroll,Retirement,Retirement (Age) Above Min Age,29/10/2020,04/08/1997
494,SEO+,Peterborough,DDat,1817,IT Solutions,Employee,Permanent,,0.92,Payroll,Resignation,Resignation,02/12/2018,12/08/1991
495,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/11/2018,27/10/1997
496,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,31/10/2021,07/04/1997
497,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Medical,01/10/2018,07/04/1997
498,Grade 6,Nottingham,Data & Register Integrity Group,1527,Central Legal Services,Employee,Permanent,,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,30/04/2021,14/04/1997
499,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Retirement,Approved Early Retirement(AER),26/06/2019,24/02/1992
500,HEO,Croydon,DDat,1805,DDAT Business Analysis,Employee,Permanent,,0.944,Payroll,Resignation,Resignation,14/10/2021,08/06/1998
501,Grade 7 Lawyers,Croydon,Data & Register Integrity Group,1527,Central Legal Services,Employee,Permanent,,0.625,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2021,01/10/1998
502,Grade 7 Lawyers,Croydon,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,Part-time regular,0.57,Payroll,Termination,Dismiss Ineff Attend (comp),06/01/2021,21/09/1998
503,EO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.6,Payroll,Resignation,Resignation,30/11/2018,27/10/1997
504,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.57,Payroll,Resignation,Resignation,30/06/2020,24/11/1997
505,HEO,Birkenhead,DDat,1815,Office of DDaT,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2022,01/12/1997
506,SEO,Birkenhead,Customer & Strategy Group,7510,Account Management,Employee,Permanent,,1,Payroll,Resignation,Resignation,02/06/2019,01/12/1997
507,EO,Birkenhead,Customer & Strategy Group,1840,DDAT Data Management & Analysis,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,,31/10/2021,26/01/1998
508,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,03/02/2022,26/01/1998
509,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Death,Death in Service,04/02/2021,24/11/1997
510,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,0.541,Payroll,Termination,Dismiss Ineff Attend (comp),28/02/2022,12/09/1994
511,Grade 7 Lawyers,Fylde,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/07/2020,26/10/1998
512,EO,Leicester,Data & Register Integrity Group,1562,Lawyer Support,Employee,Permanent,Partial retirement,0.595,Payroll,Retirement,Retirement (Age) Above Min Age,30/11/2022,01/12/1997
513,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Actuarially Reduced Retirement,31/05/2018,01/12/1997
514,SEO,Telford,Customer & Strategy Group,1830,DDAT Digital Product,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,22/07/2022,17/11/1997
515,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.65,Payroll,Retirement,Retirement (Age) Above Min Age,24/11/2020,08/12/1997
516,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.57,Payroll,Retirement,Approved Early Retirement(AER),31/07/2019,08/12/1997
517,SEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,12/07/2019,05/01/1998
518,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2023,08/12/1997
519,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Retirement,Retirement (Age) At Min Age,12/06/2018,08/12/1997
520,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.65,Payroll,Retirement,Retirement (Age) At Min Age,31/08/2020,16/03/1998
521,Grade 6,Croydon,Data & Register Integrity Group,1527,Central Legal Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,05/04/2020,01/12/1997
522,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2020,05/01/1998
523,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.57,Payroll,Retirement,Retirement (Age) Above Min Age,20/01/2021,04/05/1999
524,SEO,Peterborough,DDat,1817,IT Solutions,Employee,Permanent,,1,Payroll,Termination,Dismiss Discipry Grds No Comp,03/09/2019,10/05/1999
525,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.432,Payroll,Resignation,Resignation,30/09/2022,10/05/1999
526,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.59,Payroll,Resignation,,31/03/2019,01/06/1998
527,EO,Plymouth,DDat,1825,IT Operations,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2018,01/06/1998
528,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.595,Payroll,Death,Death in Service,01/02/2021,08/06/1998
529,EO,Weymouth,Data & Register Integrity Group,1562,Lawyer Support,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,18/07/2022,15/06/1998
530,HEO,Nottingham,FBS,1370,Commercial,Employee,Permanent,,0.81,Payroll,Resignation,Resignation,22/11/2020,05/10/1998
531,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,,14/04/2022,05/10/1998
