Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
1586,SEO,Plymouth,DDat,1855,DDAT Delivery,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,16/03/2023,22/02/2021
1587,HEO,Telford,Customer & Strategy Group,1820,DDAT Digital Design,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/12/2021,15/02/2021
1588,SEO+,Plymouth,Human Resources,1233,HR Operations,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/07/2022,06/04/2021
1589,EO,Leicester,Customer & Strategy Group,1840,DDAT Data Management & Analysis,Employee,Permanent,,1,Payroll,Resignation,Resignation,11/06/2021,01/03/2021
1590,HEO,Durham,CE & CLR,1241,Internal Communications,Employee,Permanent,,1,Payroll,Resignation,Resignation,27/03/2022,16/02/2021
1591,SEO+,Durham,DDat,1829,DDAT Architecture,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,11/08/2022,01/03/2021
1592,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,11/04/2021,01/03/2021
1593,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Dismiss Discipry Grds No Comp,11/03/2022,01/03/2021
1594,AO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,09/09/2021,01/03/2021
1595,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,06/07/2022,01/03/2021
1596,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,19/07/2022,01/03/2021
1597,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,03/08/2022,01/03/2021
1598,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,21/09/2022,01/03/2021
1599,AO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,22/01/2023,01/03/2021
1600,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,16/01/2022,01/03/2021
1601,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,27/07/2022,01/03/2021
1602,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,17/07/2022,01/03/2021
1603,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,20/02/2022,01/03/2021
1604,EO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/12/2022,12/04/2021
1605,EO,Swansea,Transformation,7525,Business Change,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,07/03/2023,29/03/2021
1606,EO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,Full-time regular,1,Payroll,Resignation,,20/05/2022,12/04/2021
1607,Grade 6,Croydon,FBS,1109,Financial Planning,Employee,Fixed Term Appt,Loan In FullTime,1,Payroll,Resignation,,28/02/2022,01/04/2021
1608,SEO,Birkenhead,Data & Register Integrity Group,1540,Risk & Assurance,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/12/2021,12/04/2021
1609,EO,Nottingham,Transformation,1940,Local Land Charges,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,04/09/2022,12/04/2021
1610,Grade 7,Croydon,FBS,1112,Central Analysis,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/04/2022,07/04/2021
1611,EO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,16/05/2022,06/04/2021
1612,EO,Croydon,DDat,1825,DDAT Operations,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,15/08/2022,06/04/2021
1613,HEO,Leicester,DDat,1835,DDAT User Research,Employee,Permanent,,1,Payroll,Resignation,,04/02/2022,12/04/2021
1614,EO,Croydon,DDat,1805,DDAT Business Analysis,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,29/09/2022,19/04/2021
1615,EO,Croydon,Transformation,1940,Local Land Charges,Employee,Permanent,,1,Payroll,Resignation,Resignation,19/04/2021,19/04/2021
1616,EO,Croydon,DDat,1805,DDAT Business Analysis,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/10/2021,17/05/2021
1617,HEO,Birkenhead,DDat,1855,DDAT Delivery,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,04/12/2022,19/04/2021
1618,HEO,Durham,Data & Register Integrity Group,1540,Risk & Assurance,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/10/2022,04/05/2021
1619,HEO,Weymouth,DDat,1835,DDAT User Research,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,27/10/2022,04/05/2021
1620,HEO,Fylde,Transformation,1940,Local Land Charges,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/03/2023,04/05/2021
1621,SEO+,Croydon,FBS,1112,Central Analysis,Employee,Fixed Term Appt,Full-time temporary,1,Payroll,Resignation,Resignation,15/05/2022,19/04/2021
1622,EO,Telford,Transformation,1940,Local Land Charges,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,10/07/2022,11/05/2021
1623,HEO,Croydon,DDat,1835,DDAT User Research,Employee,Permanent,Full-time regular,1,Payroll,Resignation,,25/09/2022,17/05/2021
1624,EO,Croydon,Customer & Strategy Group,1820,DDAT Digital Design,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,19/06/2022,05/07/2021
1625,HEO,Swansea,Customer & Strategy Group,1820,DDAT Digital Design,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,30/11/2022,10/05/2021
1626,EO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,16/12/2022,12/07/2021
1627,SEO,Croydon,CE & CLR,1105,CE & CLR,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,29/07/2022,01/06/2021
1628,EO,Croydon,Transformation,1940,Local Land Charges,Employee,Fixed Term Appt,Full-time temporary,1,Payroll,Terminate Placement,,26/08/2022,23/08/2021
1629,EO,Croydon,FBS,1112,Central Analysis,Employee,Fixed Term Appt,Full-time temporary,1,Payroll,Terminate Placement,,31/08/2022,23/08/2021
1630,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,14/01/2022,01/06/2021
1631,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,17/07/2022,01/06/2021
1632,HEO,Durham,Customer & Strategy Group,1505,Strategy Hub,Employee,Fixed Term Appt,Full-time temporary,1,Payroll,Terminate Placement,,08/07/2022,17/05/2021
1633,SEO,Durham,Transformation,1940,Local Land Charges,Employee,Permanent,Full-time regular,1,Payroll,Resignation,,10/07/2022,01/06/2021
1634,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,19/11/2022,01/06/2021
1635,SEO,Durham,DDat,1850,DDAT Performance Analysis,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,30/06/2022,05/07/2021
1636,HEO,Croydon,DDat,1870,DDAT Quality & Test,Employee,Permanent,,1,Payroll,Resignation,Resignation,04/10/2021,02/06/2021
1637,EO,Croydon,Transformation,1570,Programme and Project Management,Employee,Fixed Term Appt,Part-time temporary,0.446,Payroll,Resignation,Resignation,31/03/2023,23/08/2021
1638,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,30/09/2022,01/06/2021
1639,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,17/10/2021,01/06/2021
1640,APP,Croydon,Customer & Strategy Group,1820,DDAT Digital Design,Employee,Fixed Term Appt,Apprentice Temp FT,1,Payroll,Resignation,Resignation,27/12/2022,06/09/2021
1641,APP,Plymouth,DDat,1815,Office of DDaT,Employee,Fixed Term Appt,Apprentice Temp FT,1,Payroll,Termination,Dismiss Ineff Attend (comp),17/01/2023,07/06/2021
1642,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,22/09/2021,05/07/2021
1643,SEO,Swansea,Human Resources,1239,Organisation and Employee Development,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,19/08/2022,14/06/2021
1644,SEO,Plymouth,Human Resources,1239,Organisation and Employee Development,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/08/2022,19/07/2021
1645,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Involuntary Termination,Dismissal,28/09/2022,05/07/2021
1646,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/07/2022,05/07/2021
1647,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Termination,Discharge IneffectiveProb/Trial,04/05/2022,05/07/2021
1648,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/03/2023,05/07/2021
1649,EO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,09/05/2022,05/07/2021
1650,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,22/02/2023,05/07/2021
1651,EO,Croydon,FBS,1112,Central Analysis,Employee,Fixed Term Appt,Full-time temporary,1,Payroll,Resignation,Resignation,26/08/2022,05/07/2021
1652,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Termination,Dismiss Discipry Grds No Comp,19/10/2022,05/07/2021
1653,EO,Croydon,Customer & Strategy Group,1505,Strategy Hub,Employee,Fixed Term Appt,Full-time temporary,1,Payroll,Termination,End Of Appointment,25/08/2022,21/06/2021
1654,HEO,Croydon,FBS,1112,Central Analysis,Employee,Permanent,,1,Payroll,Resignation,Resignation,10/10/2021,18/08/2021
1655,Grade 7,Nottingham,FBS,1375,Internal Audit,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/03/2023,09/08/2021
1656,SEO,Weymouth,Operations,1490,Register Completion,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/01/2022,21/06/2021
1657,SEO,Croydon,Operations,1490,Register Completion,Employee,Permanent,,1,Payroll,Resignation,Resignation,10/04/2022,21/06/2021
1658,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,14/12/2021,05/07/2021
1659,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,,05/03/2023,05/07/2021
